A0DANUB,Manual trans,200,No air cond,175,,
A0DOAVE,2.0L-I4 (140hp),175,Manual trans,175,No air cond,175
A0DOAVE,2.0L-I4 (140hp),175,Manual trans,175,No air cond,175
A0DOB15,3.9L (6cyl-175hp),175,,,,
A0DOB25,3.9L (6cyl-175hp),175,,,,
A0DOBR1,3.9L (6cyl-175hp),175,,,,
A0DOBRS,,,,,,
A0DOBVA,,,,,,
A0DOCAR,2.4L (4cyl-150hp),175,Psgr slider only,175,,
A0DOCAR,2.4L (4cyl-150hp),175,Psgr slider only,175,,
A0DODAK,2.5L (4cyl-120hp),175,,,,
A0DODAK,2.5L (4cyl-120hp),175,,,,
A0DODUR,3.9L (6cyl-175hp),175,,,,
A0DODUR,3.9L (6cyl-175hp),175,,,,
A0DOGRA,,,,,,
A0DOGRA,,,,,,
A0DOINT,,,,,,
A0DOINT,,,,,,
A0DONEO,,,,,,
A0DONEO,,,,,,
A0DOR50,,,,,,
A0DOR50,,,,,,
A0DORAM,3.9L (6cyl-175hp),175,,,,
A0DORAM,3.9L (6cyl-175hp),175,,,,
A0DOSTR,Manual trans,250,,,,
A0DOSTR,Manual trans,250,,,,
A0DOVIP,No air cond,,,,,
A0DOVIP,No air cond,,,,,
A0FOCON,Manual trans (not SVT),175,No air cond,175,2.0L-I4 (125hp),175
A0FOCON,Manual trans (not SVT),175,No air cond,175,2.0L-I4 (125hp),175
A0FOCRO,,,,,,
A0FOCRO,,,,,,
A0FOECO,4.2L 6cyl,175,,,,
A0FOECO,4.2L 6cyl,175,,,,
A0FOESC,No air cond,175,Manual trans,175,Manual steering,100
A0FOESC,No air cond,175,Manual trans,175,Manual steering,100
A0FOEXP,,,,,,
A0FOEXP,,,,,,
A0FOEXT,4.6L-V8 (215hp),175,,,,
A0FOEXT,4.6L-V8 (215hp),175,,,,
A0FOF15,6cyl (not S),175,,,,
A0FOF15,6cyl (not S),175,,,,
A0FOF25,,,,,,
A0FOFOC,No air cond,175,Manual trans,175,No CD,50
A0FOMUS,Man trans (6cyl only),200,,,,
A0FOMUS,Man trans (6cyl only),200,,,,
A0FORAN,2.5L-I4 (119hp),175,,,,
A0FORAN,2.5L-I4 (119hp),175,,,,
A0FOTAU,ABS delete (SEL),75,,,,
A0FOTAU,ABS delete (SEL),75
A0FOWIN,Psgr slider only,175
A0FOWIN,Psgr slider only,175
A0GMC15,6cyl (not Special),175
A0GMC15,6cyl (not Special),175
A0GMC25,,
A0GMC25,,
A0GMC2K,,
A0GMG15,6cyl,175
A0GMG15,6cyl,175
A0GMG25,6cyl,175
A0GMG25,6cyl,175
A0GMJIM,,
A0GMSAF,,
A0GMSAF,,
A0GMSAV,,
A0GMSJI,,,,
A0GMSON,4cyl,175,,
A0GMSON,4cyl,175,,
A0GMSUB,,,,
A0GMSUB,,,,
A0GMYUK,,,,
A0GMYUK,,,,
A0HOACC,No air cond,250,Manual trans,200
A0HOACC,No air cond,250,Manual trans,200
A0HOCIV,No air cond,250,Man trans (not HX),175
A0HOCIV,No air cond,250,Man trans (not HX),175
A0HOCRV,,,,
A0HOCRV,,,,
A0HOINS,No air cond,175,,
A0HOINS,No air cond,175,,
A0HOPAS,,,,
A0HOPRE,Manual trans (Base),200,,,,
A0HOPRE,Manual trans (Base),200,,,,
A0HYACC,No air cond,175,,,Manual trans (not L),175
A0HYACC,No air cond,175,,,Manual trans (not L),175
A0HYELA,No air cond,175,Manual trans,175,,
A0HYELA,No air cond,175,Manual trans,175,,
A0HYSON,Manual trans,225,,,,
A0HYSON,Manual trans,225,,,,
A0HYTIB,Manual trans,225,No Air Cond,175,,
A0HYTIB,Manual trans,225,No Air Cond,175,,
A0ING20,,,,,,
A0INI30,No moonroof,200,,,,
A0INI30,No moonroof,200,,,,
A0INQ45,,,,,,
A0INQ45,,,,,,
A0ISAMI,,,,,,
A0ISAMI,,,,
A0ISPIC,,,,
A0ISPIC,,,,
A0ISROD,2.2L (4cyl-120hp),175,,
A0ISROD,2.2L (4cyl-120hp),175,,
A0ISTRO,,,,
A0ISTRO,,,,
A0JASTY,No CD,100,No moonroof,75
A0JASTY,No CD,100,No moonroof,75
A0JAXJ*,,,,
A0JAXJx,No CD,175,,
A0JAXK8,No CD,175,,
A0JAXK8,No CD,175,,
A0JECHE,2.5L (4cyl-125hp),175,,
A0JECHE,2.5L (4cyl-125hp),175,,
A0JEGRA,,,,
A0JEGRA,,,,
A0JEWRA,,,,
A0JEWRA,,,,
A0KISEP,No air conditioning,250,Manual steering,100
A0KISEP,No air conditioning,250,Manual steering,100
A0KISPO,,,,
A0KISPO,,,,
A0LEES3,Cloth seats,175,,
A0LEES3,Cloth seats,175,,
A0LEGS3,,,,
A0LEGSS,Cloth seats,175,,
